,CPU,%idle,iteration,tool,Time
0,all,98.8,0,omnet,10:29:03
21,all,98.65,1,omnet,10:29:13
42,all,98.75,2,omnet,10:29:11
63,all,99.2,3,omnet,10:29:09
84,all,98.6,4,omnet,10:29:05
105,all,98.8,5,omnet,10:29:07
126,all,99.2,6,omnet,10:29:15
